Wall time,Step,Value
1738853565.140958,69120,-91.04871368408203
1738853643.3145247,138240,-115.9207534790039
1738853720.7519696,207360,21.07143783569336
1738853798.3596244,276480,41.49573516845703
1738853875.497984,345600,56.91790008544922
1738853952.5941558,414720,83.59105682373047
1738854029.5282397,483840,95.02452087402344
1738854109.0478652,552960,118.78601837158203
1738854191.138196,622080,118.59626770019531
1738854273.547523,691200,92.29588317871094
1738854356.326683,760320,131.60195922851562
1738854648.032288,829440,119.1976547241211
1738854746.5375042,898560,172.75064086914062
1738854825.196981,967680,174.9026641845703
1738854908.434585,1036800,177.41131591796875
1738854986.6577346,1105920,193.42539978027344
1738855067.6660802,1175040,193.65924072265625
1738855146.7372015,1244160,173.47462463378906
1738855224.699363,1313280,181.81910705566406
1738855302.2006783,1382400,192.04042053222656
1738855380.7786844,1451520,190.75665283203125
1738855458.857007,1520640,205.9912109375
1738855537.3888724,1589760,198.0660400390625
1738855614.3524454,1658880,195.47808837890625
1738855691.0987415,1728000,203.31546020507812
1738855768.2310271,1797120,226.69406127929688
1738855845.0411296,1866240,215.64340209960938
1738855921.6905594,1935360,215.73817443847656
1738855999.6525714,2004480,212.17822265625
1738856076.6654282,2073600,216.46937561035156
1738856153.8557944,2142720,218.56063842773438
1738856230.298736,2211840,223.30487060546875
1738856307.0696857,2280960,212.51145935058594
1738856426.2681763,2350080,207.31265258789062
1738856502.9376721,2419200,199.11346435546875
1738856579.2182355,2488320,230.43618774414062
1738856655.2691543,2557440,213.38052368164062
1738856737.9654725,2626560,227.10914611816406
1738856814.7494726,2695680,206.9253387451172
1738856891.6707203,2764800,211.3860321044922
1738856968.3659859,2833920,222.73731994628906
1738857045.1026208,2903040,218.08102416992188
1738857121.7268224,2972160,234.01466369628906
1738857198.1703198,3041280,224.63436889648438
1738857274.812209,3110400,220.70387268066406
1738857351.3229983,3179520,200.7520751953125
1738857429.8857856,3248640,186.52828979492188
1738857506.9329014,3317760,216.9258575439453
1738857583.5215223,3386880,218.7777862548828
1738857660.2877088,3456000,220.0060577392578
1738857737.7453427,3525120,207.94442749023438
1738857814.6189404,3594240,221.57876586914062
1738857891.3894732,3663360,220.7350616455078
1738857968.6436176,3732480,233.0195770263672
1738858046.848456,3801600,234.2581787109375
1738858124.4826639,3870720,226.288330078125
1738858202.2830904,3939840,238.23129272460938
1738858280.1758175,4008960,218.8857421875
1738858357.7935913,4078080,227.5275421142578
1738858434.6563702,4147200,237.6847686767578
1738858513.4845834,4216320,232.31552124023438
1738858591.1557107,4285440,219.61875915527344
1738858668.448391,4354560,216.12460327148438
1738858745.091537,4423680,235.88966369628906
1738858824.6277843,4492800,223.31983947753906
1738858903.6666524,4561920,235.19215393066406
1738858983.1242101,4631040,236.18988037109375
1738859071.0874214,4700160,228.29922485351562
1738859153.1285484,4769280,225.4366912841797
1738859232.6934779,4838400,230.43601989746094
1738859313.1815069,4907520,235.3861846923828
1738859393.2302818,4976640,227.25682067871094
1738859473.7916074,5045760,227.94053649902344
1738859555.9833727,5114880,228.7608184814453
1738859636.6874785,5184000,223.2279510498047
1738859715.4514463,5253120,223.9473114013672
1738859795.43946,5322240,232.94508361816406
1738859879.5144675,5391360,223.79971313476562
1738859964.1724687,5460480,229.79132080078125
1738860053.763569,5529600,224.2670135498047
1738860135.4751112,5598720,225.41189575195312
1738860214.220479,5667840,220.07342529296875
1738860293.3516502,5736960,206.91067504882812
1738860375.1655521,5806080,228.72314453125
1738860454.7624636,5875200,234.46969604492188
1738860534.4144704,5944320,223.275146484375
1738860613.515439,6013440,233.79171752929688
1738860693.2134378,6082560,234.8733367919922
1738860772.7935376,6151680,234.37770080566406
1738860851.3235164,6220800,223.06808471679688
1738860931.6405022,6289920,229.43014526367188
1738861011.3835022,6359040,229.5669403076172
1738861088.9064562,6428160,225.4912872314453
1738861165.6161582,6497280,234.0541229248047
1738861242.3556418,6566400,229.91412353515625
1738861319.759409,6635520,233.89932250976562
1738861397.3612373,6704640,208.08302307128906
1738861474.3146262,6773760,231.37985229492188
1738861550.940012,6842880,222.75218200683594
1738861631.6500876,6912000,224.31382751464844
1738861715.5824885,6981120,225.2363739013672
1738861795.972035,7050240,220.33702087402344
1738861875.7095149,7119360,227.58543395996094
1738861954.4045153,7188480,232.1449432373047
1738862033.7420812,7257600,225.1962432861328
1738862115.6027994,7326720,241.1558074951172
1738862194.4392471,7395840,225.99411010742188
1738862289.869281,7464960,234.45164489746094
1738862369.6768708,7534080,239.53965759277344
1738862449.1930227,7603200,226.4510040283203
1738862531.825472,7672320,204.75904846191406
1738862613.176758,7741440,230.23800659179688
1738862694.082869,7810560,228.143310546875
1738862776.0160596,7879680,229.15748596191406
1738862857.8758645,7948800,231.69729614257812
1738862939.1527529,8017920,233.15103149414062
1738863019.8826149,8087040,226.2050018310547
1738863100.513249,8156160,227.62391662597656
1738863203.663499,8225280,231.3277587890625
1738863284.2007012,8294400,223.89883422851562
1738863374.9840748,8363520,235.31509399414062
1738863457.027183,8432640,224.27420043945312
1738863542.5336301,8501760,232.5203094482422
1738863624.1675723,8570880,231.72183227539062
1738863703.8404047,8640000,222.8260498046875
1738863787.0356395,8709120,225.30807495117188
1738863867.614987,8778240,234.82760620117188
1738863947.921255,8847360,235.60678100585938
1738864027.9995756,8916480,235.66831970214844
1738864109.0040355,8985600,236.42950439453125
1738864188.6021633,9054720,230.4706573486328
1738864269.12099,9123840,234.4627227783203
1738864351.83168,9192960,228.4724884033203
1738864434.2489953,9262080,231.85948181152344
1738864516.8823488,9331200,224.54183959960938
1738864598.5475013,9400320,236.55615234375
1738864676.902317,9469440,231.31182861328125
1738864754.6564233,9538560,229.828125
1738864832.2204232,9607680,233.72093200683594
1738864910.0998888,9676800,239.6112518310547
1738864987.4859784,9745920,225.7622833251953
1738865065.5192327,9815040,233.47799682617188
1738865142.906234,9884160,202.30267333984375
1738865220.304233,9953280,234.8572540283203
1738865298.3072321,10022400,226.95278930664062
