Wall time,Step,Value
1738859153.169547,4769280,25.0
1738859216.1684787,4803840,31.0
1738859232.727476,4838400,31.0
1738859296.2014914,4872960,27.0
1738859313.2335062,4907520,28.0
1738859376.06668,4942080,31.0
1738859393.2742794,4976640,33.0
1738859456.9994385,5011200,28.0
1738859473.9166229,5045760,31.0
1738859538.0556762,5080320,29.0
1738859556.8325257,5114880,30.0
1738859619.5204468,5149440,30.0
1738859636.9174888,5184000,36.0
1738859699.1364455,5218560,39.0
1738859715.4834452,5253120,27.0
1738859778.7884622,5287680,31.0
1738859795.4824593,5322240,36.0
1738859861.6034622,5356800,38.0
1738859879.554466,5391360,29.0
1738859945.9234664,5425920,41.0
1738859964.2174664,5460480,29.0
1738860035.2645698,5495040,38.0
1738860053.8045673,5529600,32.0
1738860119.1731102,5564160,35.0
1738860135.5111084,5598720,30.0
1738860197.50036,5633280,27.0
1738860214.259478,5667840,30.0
1738860276.2206516,5702400,34.0
1738860293.5916939,5736960,37.0
1738860355.8515525,5771520,28.0
1738860375.6225643,5806080,38.0
1738860438.1124635,5840640,25.0
1738860454.8044605,5875200,33.0
1738860517.3247204,5909760,28.0
1738860534.4614675,5944320,27.0
1738860597.0824394,5978880,26.0
1738860613.5854359,6013440,31.0
1738860676.4644396,6048000,31.0
1738860693.2594354,6082560,32.0
1738860755.6905391,6117120,31.0
1738860772.8405347,6151680,31.0
1738860835.0665164,6186240,38.0
1738860851.3655157,6220800,32.0
1738860914.5074427,6255360,31.0
1738860931.6834998,6289920,31.0
1738860995.112408,6324480,27.0
1738861011.4315,6359040,27.0
1738861072.618502,6393600,32.0
1738861088.9474537,6428160,29.0
1738861149.3806753,6462720,39.0
1738861165.7201555,6497280,32.0
1738861226.1955578,6531840,34.0
1738861242.396641,6566400,30.0
1738861303.5597668,6600960,35.0
1738861319.8044062,6635520,40.0
1738861381.1445177,6670080,43.0
1738861397.3952334,6704640,38.0
1738861458.0869677,6739200,30.0
1738861474.3446243,6773760,30.0
1738861534.851747,6808320,32.0
1738861550.9940069,6842880,40.0
1738861615.1600888,6877440,33.0
1738861631.8730855,6912000,37.0
1738861698.312487,6946560,40.0
1738861715.616485,6981120,28.0
1738861779.0143304,7015680,31.0
1738861796.015031,7050240,27.0
1738861859.0588555,7084800,36.0
1738861875.7475095,7119360,40.0
1738861937.76553,7153920,32.0
1738861954.521514,7188480,34.0
1738862017.0276058,7223040,28.0
1738862033.7861729,7257600,35.0
1738862098.9642372,7292160,35.0
1738862115.6517978,7326720,35.0
1738862177.8519251,7361280,35.0
1738862194.4833221,7395840,36.0
1738862259.8657866,7430400,26.0
1738862290.5074232,7464960,26.0
1738862353.1338127,7499520,29.0
1738862369.7298687,7534080,32.0
1738862432.0990238,7568640,26.0
1738862449.24502,7603200,38.0
1738862514.607473,7637760,40.0
1738862531.8784702,7672320,39.0
1738862596.3474734,7706880,28.0
1738862613.2187555,7741440,31.0
1738862676.676618,7776000,41.0
1738862694.1418667,7810560,34.0
1738862759.0594444,7845120,31.0
1738862776.0730572,7879680,28.0
1738862840.7048655,7914240,34.0
1738862857.9208615,7948800,35.0
1738862922.2849047,7983360,28.0
1738862939.2017496,8017920,33.0
1738863003.145642,8052480,37.0
1738863019.9296124,8087040,32.0
1738863083.7394583,8121600,28.0
1738863100.5562463,8156160,32.0
1738863168.2793028,8190720,34.0
1738863203.8604946,8225280,35.0
1738863267.570434,8259840,32.0
1738863285.3405116,8294400,28.0
1738863348.6555133,8328960,34.0
1738863375.0160737,8363520,39.0
1738863439.8393052,8398080,35.0
1738863457.0721784,8432640,26.0
1738863524.1154087,8467200,31.0
1738863542.5776281,8501760,36.0
1738863607.2557359,8536320,38.0
1738863624.2005706,8570880,35.0
1738863687.256573,8605440,32.0
1738863703.8904047,8640000,39.0
1738863768.149278,8674560,36.0
1738863787.7231977,8709120,35.0
1738863851.0338285,8743680,33.0
1738863867.6609833,8778240,28.0
1738863931.221173,8812800,30.0
1738863947.9762535,8847360,25.0
1738864011.235575,8881920,31.0
1738864028.0415726,8916480,27.0
1738864092.3350675,8951040,38.0
1738864109.0720325,8985600,30.0
1738864172.002045,9020160,25.0
1738864188.6501617,9054720,36.0
1738864251.7659888,9089280,36.0
1738864269.1739886,9123840,30.0
1738864334.4693148,9158400,30.0
1738864351.8796763,9192960,26.0
1738864416.9400444,9227520,31.0
1738864434.2939928,9262080,24.0
1738864499.4755425,9296640,40.0
1738864516.9283366,9331200,27.0
1738864581.3885033,9365760,30.0
1738864598.6504972,9400320,28.0
1738864660.6042235,9434880,33.0
1738864676.9593146,9469440,34.0
1738864738.2994218,9504000,28.0
1738864754.7034192,9538560,32.0
1738864815.861422,9573120,34.0
1738864832.2704194,9607680,32.0
1738864893.3657844,9642240,35.0
1738864910.130884,9676800,29.0
1738864970.9278874,9711360,38.0
1738864987.5219772,9745920,29.0
1738865049.0782344,9780480,29.0
1738865065.5492322,9815040,37.0
1738865126.4822335,9849600,34.0
1738865142.9562297,9884160,28.0
1738865203.9242337,9918720,37.0
1738865220.3392305,9953280,41.0
1738865282.0242326,9987840,27.0
1738865298.7145689,10022400,36.0
